id,date,open,high,low,close,volume,market_capital
1291,2005/2/18,6072.45 ,6128.64 ,6062.96 ,6115.43 ,3673171.00 ,13992318.00 
1292,2005/2/21,6145.56 ,6172.27 ,6133.11 ,6142.78 ,4404172.00 ,14055123.00 
1293,2005/2/22,6155.54 ,6161.00 ,6106.19 ,6107.17 ,3165103.00 ,13973664.00 
1294,2005/2/23,6082.34 ,6128.70 ,6048.63 ,6121.52 ,3280314.00 ,14006631.00 
1295,2005/2/24,6123.59 ,6171.56 ,6109.90 ,6128.34 ,4095245.00 ,14030919.00 
1296,2005/2/25,6195.24 ,6233.53 ,6192.38 ,6207.83 ,5039295.00 ,14214338.00 
1297,2005/3/1,6227.42 ,6260.32 ,6207.78 ,6259.69 ,4374985.00 ,14345251.00 
1298,2005/3/2,6267.52 ,6267.52 ,6219.93 ,6225.25 ,3559507.00 ,14265991.00 
1299,2005/3/3,6219.71 ,6219.71 ,6164.15 ,6202.38 ,3543156.00 ,14213672.00 
1300,2005/3/4,6191.42 ,6219.07 ,6178.26 ,6193.62 ,3466263.00 ,14193670.00 
1301,2005/3/7,6224.44 ,6257.54 ,6220.52 ,6220.52 ,3765713.00 ,14255365.00 
1302,2005/3/8,6250.58 ,6255.68 ,6156.98 ,6173.34 ,4088381.00 ,14147042.00 
1303,2005/3/9,6163.56 ,6227.13 ,6163.56 ,6213.28 ,3590064.00 ,14237444.00 
1304,2005/3/10,6207.86 ,6215.47 ,6168.76 ,6192.53 ,4062925.00 ,14189737.00 
1305,2005/3/11,6225.75 ,6238.43 ,6194.14 ,6204.23 ,3467836.00 ,14217965.00 
1306,2005/3/14,6181.83 ,6193.32 ,6151.80 ,6155.51 ,3275670.00 ,14106418.00 
1307,2005/3/15,6155.49 ,6169.52 ,6028.17 ,6063.48 ,3746502.00 ,13903166.00 
1308,2005/3/16,6052.30 ,6093.41 ,6048.40 ,6072.36 ,2716235.00 ,13923336.00 
1309,2005/3/17,6021.80 ,6054.71 ,6002.10 ,6032.47 ,2668115.00 ,13832019.00 
1310,2005/3/18,6039.23 ,6054.75 ,6018.63 ,6043.95 ,2372262.00 ,13855216.00 
1311,2005/3/21,6056.10 ,6077.94 ,6051.53 ,6058.96 ,2645877.00 ,13891823.00 
1312,2005/3/22,6057.90 ,6057.90 ,5998.78 ,6018.79 ,2881798.00 ,13799905.00 
1313,2005/3/23,6005.36 ,6023.76 ,5970.20 ,6019.49 ,2763836.00 ,13801592.00 
1314,2005/3/24,6029.74 ,6054.65 ,6001.00 ,6001.00 ,2929184.00 ,13759137.00 
1315,2005/3/25,6018.79 ,6065.91 ,6016.48 ,6065.91 ,2554671.00 ,13907781.00 
1316,2005/3/28,6091.83 ,6093.19 ,6048.74 ,6048.74 ,2338099.00 ,13868985.00 
1317,2005/3/29,6035.77 ,6035.77 ,5961.24 ,5961.24 ,2683567.00 ,13668264.00 
1318,2005/3/30,5940.18 ,5980.50 ,5940.18 ,5957.98 ,2565621.00 ,13661470.00 
1319,2005/3/31,6005.87 ,6017.04 ,5995.27 ,6005.88 ,2898612.00 ,13805604.00 
1320,2005/4/1,6010.71 ,6028.99 ,5959.28 ,6028.75 ,2916852.00 ,13858037.00 
1321,2005/4/4,6013.70 ,6048.37 ,6006.30 ,6019.93 ,2961871.00 ,13838311.00 
